name,business_id,categories,is_closed,review_id,review_rating,review_text,user_id
Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,"Seafood,Bars",FALSE,eS_qxC-qC8RnJY-FXD3djg,5,"The restaurant is in a perfect location. You must make a reservation to dine here! 

Customer service:
Arif, our server is absolutely amazing!...",3UxhJ0zdww8ptAESBMwAaQ
Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,"Seafood,Bars",FALSE,vmY1p68iTuh04iFm8ovglA,3,My girlfriend and I flew into SFO and decided to check out fisherman's wharf after dropping off our stuff at the hotel. We wanted something not super fancy...,XoPZFbhk60YaXOlFvfBFIA
Fog Harbor Fish House,f-m7-hyFzkf0HSEeQ2s-9A,"Seafood,Bars",FALSE,c-TXm5KzuSO3TrzZ4AAsCA,1,"Ambiance is nice but this is another tourist trap. Find better places around. The whole time I was eating, I was thinking about what to eat later. 

Ordered...",iq9b1xt3PG1rBbjGY4I6AQ
Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,Ramen,FALSE,mYK-uNIT2DgiTpq1QO-CZQ,5,"This is one of my favorite ramen places in the bay. I really love the noodle here, and the soup base is not too rich or oily. I've been to other top rated...",ZDLnBs5w9Lh_j2t9fBLRLA
Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,Ramen,FALSE,6qNu34Px7v9FF9FW46F_2Q,4,"Glad I went to see what all the hype was.

We got the Hakata Tonkatsu DX, the Marufuku Bites, the Takoyaki, and the Chasu rice bowl.

The ramen was good -...",#NAME?
Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,Ramen,FALSE,HCyvghhf2GlgRvopxuCn7A,4,"The ramen broth at Marufuku SF was the highlight- I believe the broth usually determines the authenticity of everything else in the bowl ;) 

After 1.5...",zNtNVYxpMGPOviQK-YUbEg
The House,ZoZjbOYR-apY8XvommlNUA,Asian Fusion,FALSE,HWzHLIQnF9NMyoMGj39pqw,5,"Must try their wasabi noodles. Sometimes if scallop is on the menu, get that as well. They have avocado rolls as well deep fried; this makes a great...",V8Nbny-yDqIeAvR1-kyWcw
The House,ZoZjbOYR-apY8XvommlNUA,Asian Fusion,FALSE,clFzi8PZRNeQFdoZIsWqOA,4,"A tiny restaurant offering bold flavors. 
Tried a lot of items on the menu but my favorite was the octopus. 
I did a walk in, however it's better to do...",HNpi4ahv9XqxA5-7stqdJA
The House,ZoZjbOYR-apY8XvommlNUA,Asian Fusion,FALSE,fuEI4pTInOuKZm81eDwYbQ,4,"It's a small spot with good food and pricey. You definitely get what you paid for. I say our service is good but not the friendliest, he seems snobby with...",qHj5lQTK44h27veQkGq0FQ
Zazie,gqVl3RprESEqkIPeJH0yOg,"Breakfast & Brunch,French",FALSE,e7TBuYMirulnzo-Aio8qcw,5,"Amazing joint!

Great recommendation that had great food. Try the mango mimosa, Mexican egg scramble and the smoked salmon with poached eggs and capers....",lC_ELCv9snnlhI4Pc8WTSw
Zazie,gqVl3RprESEqkIPeJH0yOg,"Breakfast & Brunch,French",FALSE,yPWdBZNBUx4uJVOOYzSwkw,5,"Amazing food! 

Lemon pancakes and lemon coffee cake were worth the hype. The servers were friendly, quick and efficient. They had a huge line outside but...",jxx8-QbUfYE26KtgEUjUag
Zazie,gqVl3RprESEqkIPeJH0yOg,"Breakfast & Brunch,French",FALSE,jbOxNnw39CQctZY8Nr0ljQ,2,"OK food that's unreasonable pricey!

Sure, this place is cute and in a cute neighborhood with cute outdoor seating, but that doesn't mean you can serve...",IzUq1fnIpGbM0GnS_9Dunw
Farmhouse Kitchen Thai Cuisine,8kck3-K4zYKTJbJko0JlXQ,"Thai,Comfort Food",FALSE,rRDf36x44uU7cJVD1_CjUQ,5,Came here on Saturday night of pride weekend with a party of 10 and the staff all they could to make sure we were seated within 45 minutes. We went to the...,B-tnUR66MKSoLtzMrHBywA
Farmhouse Kitchen Thai Cuisine,8kck3-K4zYKTJbJko0JlXQ,"Thai,Comfort Food",FALSE,YdXWYihGDrTZhABSm4DdvA,4,Eccentric Thai restaurant in the Mission with impressive specialty dishes and sweet staff. The major con for me is here is the price point. Expect to pay...,exfo1mPHUX1HIUW0cMuEFA
Farmhouse Kitchen Thai Cuisine,8kck3-K4zYKTJbJko0JlXQ,"Thai,Comfort Food",FALSE,uZJ0ux4T6iaGXmGNYPfbAQ,4,Came here back in December at around 2pm on a Sunday and it was only about a 20 minute wait. Service was quite slow - just getting water and waiting for our...,piYMXbWYztrOnEFuq6BPjQ
